Date,Materials,Energy,Financial,Industrial,Technology,Consumer Staples,Utilities,Health Care,Consumer Discretionary,S&P 500,13w yield,2y yield,30y yield,VIX
2008-06-09,31.22889518737793,52.872398376464844,13.567301750183105,26.905590057373047,19.504985809326172,17.97051239013672,22.851476669311523,23.468612670898438,25.11397933959961,1361.760009765625,1.850000023841858,3.992000102996826,4.620999813079834,23.1200008392334
2008-06-10,30.8319034576416,51.57073974609375,13.608580589294434,26.747283935546875,19.418012619018555,18.002540588378906,22.829280853271484,23.24331283569336,25.21044921875,1358.43994140625,1.9700000286102295,4.098999977111816,4.701000213623047,23.18000030517578
2008-06-11,30.28170394897461,51.887184143066406,13.213530540466309,26.243566513061523,18.919918060302734,17.90644645690918,22.807077407836914,23.010507583618164,24.679880142211914,1335.489990234375,1.9049999713897705,4.072999954223633,4.702000141143799,24.1200008392334
2008-06-12,30.26778793334961,51.09903335571289,13.57320499420166,26.33711814880371,19.133390426635742,18.028165817260742,22.712711334228516,22.815244674682617,24.880849838256836,1339.8699951171875,1.9500000476837158,4.204999923706055,4.763999938964844,23.329999923706055
2008-06-13,31.019954681396484,51.708072662353516,13.785470008850098,26.63934326171875,19.338956832885742,18.015356063842773,22.918087005615234,23.175729751586914,25.499853134155273,1360.030029296875,1.9299999475479126,4.261000156402588,4.802000045776367,21.219999313354492
2008-06-16,30.992107391357422,51.89318084716797,13.915185928344727,26.49542999267578,19.38639259338379,17.823158264160156,22.940288543701172,23.250831604003906,25.419466018676758,1360.1400146484375,1.940000057220459,4.244999885559082,4.78000020980835,20.950000762939453
2008-06-17,31.15924072265625,52.75297164916992,13.508340835571289,26.437868118286133,19.307329177856445,17.7655029296875,23.06794548034668,23.190746307373047,25.162216186523438,1350.9300537109375,1.9550000429153442,4.224999904632568,4.789999961853027,21.1299991607666
2008-06-18,30.95030403137207,52.95598602294922,13.284282684326172,26.056467056274414,19.101768493652344,17.566898345947266,22.979143142700195,22.927900314331055,24.607519149780273,1337.81005859375,1.8799999952316284,4.1539998054504395,4.730000019073486,22.239999771118164
2008-06-19,31.006027221679688,51.68416976928711,13.42579174041748,26.39468002319336,19.172922134399414,17.624555587768555,23.006895065307617,22.95794105529785,24.92105484008789,1342.8299560546875,1.8600000143051147,4.198999881744385,4.750999927520752,21.579999923706055
2008-06-20,30.378437042236328,51.335758209228516,13.193802833557129,25.954391479492188,18.831188201904297,17.42444610595703,22.741291046142578,22.635011672973633,24.188457489013672,1317.9300537109375,1.7999999523162842,4.13700008392334,4.702000141143799,22.8700008392334
2008-06-23,30.574337005615234,53.365234375,12.777410507202148,26.0050048828125,18.65674591064453,17.360095977783203,23.01528549194336,22.80100440979004,23.768909454345703,1318.0,1.850000023841858,4.168000221252441,4.710000038146973,22.639999389648438
2008-06-24,29.99364471435547,52.35349655151367,12.926116943359375,25.694133758544922,18.63296127319336,17.418012619018555,22.825159072875977,22.883996963500977,23.865726470947266,1314.2900390625,1.7949999570846558,4.105000019073486,4.6579999923706055,22.420000076293945
2008-06-25,30.084596633911133,52.15593719482422,12.896378517150879,25.50615692138672,18.791536331176758,17.81050682067871,23.093563079833984,23.140525817871094,24.043222427368164,1321.969970703125,1.7599999904632568,4.114999771118164,4.6570000648498535,21.139999389648438
2008-06-26,29.342985153198242,51.77876663208008,12.432395935058594,25.086841583251953,18.434741973876953,17.2700138092041,22.40578269958496,22.672739028930664,23.47846221923828,1283.1500244140625,1.6799999475479126,4.0329999923706055,4.603000164031982,23.93000030517578
2008-06-27,29.31498908996582,52.2337646484375,12.236091613769531,24.363868713378906,18.18894386291504,17.089853286743164,22.215669631958008,22.823637008666992,23.08311653137207,1278.3800048828125,1.6299999952316284,3.990000009536743,4.5370001792907715,23.440000534057617
2008-06-30,29.1960506439209,52.970115661621094,12.051687240600586,24.587993621826172,18.1651611328125,17.21210479736328,22.758071899414062,23.07262420654297,22.978221893310547,1280.0,1.7050000429153442,3.9790000915527344,4.531000137329102,23.950000762939453
2008-07-01,28.657325744628906,53.19163131713867,12.087382316589355,24.57353973388672,18.038293838500977,17.192798614501953,22.875492095947266,23.07262420654297,22.687767028808594,1284.9100341796875,1.8250000476837158,3.992000102996826,4.544000148773193,23.649999618530273
2008-07-02,27.432958602905273,51.58720016479492,11.902975082397461,23.821657180786133,17.800432205200195,17.173498153686523,22.81397819519043,22.91417694091797,22.437650680541992,1261.52001953125,1.7899999618530273,3.9590001106262207,4.502999782562256,25.920000076293945
2008-07-03,27.600873947143555,50.82688903808594,11.86133861541748,24.154218673706055,17.721139907836914,17.16063117980957,22.57914161682129,23.01226806640625,22.631290435791016,1262.9000244140625,1.809999942779541,3.9730000495910645,4.531000137329102,24.780000686645508
2008-07-07,27.74078941345215,49.55171203613281,11.468731880187988,24.125301361083984,17.919357299804688,17.3343505859375,22.355464935302734,22.861352920532227,22.373106002807617,1252.31005859375,1.774999976158142,3.930000066757202,4.504000186920166,25.780000686645508
2008-07-08,27.446950912475586,48.7315559387207,12.212300300598145,24.681991577148438,18.10172462463379,17.5595645904541,22.47289276123047,23.464963912963867,22.954021453857422,1273.699951171875,1.8200000524520874,3.880000114440918,4.455999851226807,23.149999618530273
2008-07-09,27.495920181274414,47.80363845825195,11.516319274902344,23.995161056518555,17.56256103515625,17.38583755493164,22.741291046142578,23.578136444091797,22.469924926757812,1244.68994140625,1.7899999618530273,3.8340001106262207,4.427999973297119,25.229999542236328
2008-07-10,27.600873947143555,49.27035140991211,11.43304443359375,24.363868713378906,17.78456687927246,17.5145263671875,22.797204971313477,23.706403732299805,22.074581146240234,1253.3900146484375,1.6299999952316284,3.811000108718872,4.421000003814697,25.59000015258789
2008-07-11,27.579879760742188,48.971031188964844,11.111821174621582,23.92287254333496,17.618061065673828,17.327926635742188,22.62386703491211,23.25370216369629,21.61469841003418,1239.489990234375,1.5700000524520874,3.940000057220459,4.517000198364258,27.489999771118164
2008-07-14,27.88772201538086,49.2943229675293,10.540769577026367,24.031312942504883,17.483272552490234,17.340795516967773,22.467296600341797,23.412151336669922,21.501737594604492,1228.300048828125,1.4249999523162842,3.880000114440918,4.468999862670898,28.479999542236328
2008-07-15,27.61486053466797,47.216915130615234,10.213597297668457,23.554161071777344,17.443622589111328,17.30862045288086,22.31073570251465,23.525325775146484,21.501737594604492,1214.9100341796875,1.375,3.8440001010894775,4.473999977111816,28.540000915527344
2008-07-16,27.719804763793945,46.00162124633789,11.552013397216797,24.096384048461914,17.697345733642578,17.52739715576172,21.868988037109375,23.691320419311523,22.36503791809082,1245.3599853515625,1.3450000286102295,3.934000015258789,4.581999778747559,25.100000381469727
